env,k,tau,seed,d4rl_score,return,run
antmaze-large-diverse-v2,1,4.0,2,0.0,0.0,antmaze-large-diverse-v2_tau4_mpi1_seed2
antmaze-large-diverse-v2,1,4.0,3,0.0,0.0,antmaze-large-diverse-v2_tau4_mpi1_seed3
antmaze-large-diverse-v2,1,7.0,0,0.0,0.0,antmaze-large-diverse-v2_tau7_mpi1_seed0
antmaze-large-diverse-v2,1,7.0,1,0.0,0.0,antmaze-large-diverse-v2_tau7_mpi1_seed1
antmaze-large-diverse-v2,1,7.0,2,0.0,0.0,antmaze-large-diverse-v2_tau7_mpi1_seed2
antmaze-large-diverse-v2,1,7.0,3,0.0,0.0,antmaze-large-diverse-v2_tau7_mpi1_seed3
antmaze-large-diverse-v2,1,10.0,0,0.0,0.0,antmaze-large-diverse-v2_tau10_mpi1_seed0
antmaze-large-diverse-v2,1,10.0,1,0.0,0.0,antmaze-large-diverse-v2_tau10_mpi1_seed1
antmaze-large-diverse-v2,1,10.0,2,0.0,0.0,antmaze-large-diverse-v2_tau10_mpi1_seed2
antmaze-large-diverse-v2,1,10.0,3,0.0,0.0,antmaze-large-diverse-v2_tau10_mpi1_seed3
antmaze-large-diverse-v2,1,12.0,0,20.0,0.2,antmaze-large-diverse-v2_tau12_mpi1_seed0
antmaze-large-diverse-v2,1,12.0,1,0.0,0.0,antmaze-large-diverse-v2_tau12_mpi1_seed1
antmaze-large-diverse-v2,1,12.0,2,20.0,0.2,antmaze-large-diverse-v2_tau12_mpi1_seed2
antmaze-large-diverse-v2,1,12.0,3,20.0,0.2,antmaze-large-diverse-v2_tau12_mpi1_seed3
antmaze-large-diverse-v2,1,14.0,0,10.0,0.1,antmaze-large-diverse-v2_tau14_mpi1_seed0
antmaze-large-diverse-v2,1,14.0,1,0.0,0.0,antmaze-large-diverse-v2_tau14_mpi1_seed1
antmaze-large-diverse-v2,1,14.0,2,0.0,0.0,antmaze-large-diverse-v2_tau14_mpi1_seed2
antmaze-large-diverse-v2,1,14.0,3,0.0,0.0,antmaze-large-diverse-v2_tau14_mpi1_seed3
antmaze-large-diverse-v2,1,17.0,0,30.0,0.3,antmaze-large-diverse-v2_tau17_mpi1_seed0
antmaze-large-diverse-v2,1,17.0,1,0.0,0.0,antmaze-large-diverse-v2_tau17_mpi1_seed1
antmaze-large-diverse-v2,1,17.0,2,0.0,0.0,antmaze-large-diverse-v2_tau17_mpi1_seed2
antmaze-large-diverse-v2,1,17.0,3,0.0,0.0,antmaze-large-diverse-v2_tau17_mpi1_seed3
antmaze-large-diverse-v2,1,20.0,0,30.0,0.3,antmaze-large-diverse-v2_tau20_mpi1_seed0
antmaze-large-diverse-v2,1,20.0,1,50.0,0.5,antmaze-large-diverse-v2_tau20_mpi1_seed1
antmaze-large-diverse-v2,1,20.0,2,0.0,0.0,antmaze-large-diverse-v2_tau20_mpi1_seed2
antmaze-large-diverse-v2,1,20.0,3,0.0,0.0,antmaze-large-diverse-v2_tau20_mpi1_seed3
antmaze-large-diverse-v2,2,0.05,0,0.0,0.0,antmaze-large-diverse-v2_tau0.05_mpi2_seed0
antmaze-large-diverse-v2,2,0.05,1,0.0,0.0,antmaze-large-diverse-v2_tau0.05_mpi2_seed1
antmaze-large-diverse-v2,2,0.05,2,0.0,0.0,antmaze-large-diverse-v2_tau0.05_mpi2_seed2
antmaze-large-diverse-v2,2,0.05,3,0.0,0.0,antmaze-large-diverse-v2_tau0.05_mpi2_seed3
antmaze-large-diverse-v2,2,0.1,0,0.0,0.0,antmaze-large-diverse-v2_tau0.1_mpi2_seed0
antmaze-large-diverse-v2,2,0.1,1,0.0,0.0,antmaze-large-diverse-v2_tau0.1_mpi2_seed1
antmaze-large-diverse-v2,2,0.1,2,0.0,0.0,antmaze-large-diverse-v2_tau0.1_mpi2_seed2
antmaze-large-diverse-v2,2,0.1,3,0.0,0.0,antmaze-large-diverse-v2_tau0.1_mpi2_seed3
antmaze-large-diverse-v2,2,0.2,0,0.0,0.0,antmaze-large-diverse-v2_tau0.2_mpi2_seed0
antmaze-large-diverse-v2,2,0.2,1,0.0,0.0,antmaze-large-diverse-v2_tau0.2_mpi2_seed1
antmaze-large-diverse-v2,2,0.2,2,0.0,0.0,antmaze-large-diverse-v2_tau0.2_mpi2_seed2
antmaze-large-diverse-v2,2,0.2,3,0.0,0.0,antmaze-large-diverse-v2_tau0.2_mpi2_seed3
antmaze-large-diverse-v2,2,0.4,0,0.0,0.0,antmaze-large-diverse-v2_tau0.4_mpi2_seed0
antmaze-large-diverse-v2,2,0.4,1,0.0,0.0,antmaze-large-diverse-v2_tau0.4_mpi2_seed1
antmaze-large-diverse-v2,2,0.4,2,0.0,0.0,antmaze-large-diverse-v2_tau0.4_mpi2_seed2
antmaze-large-diverse-v2,2,0.4,3,0.0,0.0,antmaze-large-diverse-v2_tau0.4_mpi2_seed3
antmaze-large-diverse-v2,2,0.7,0,0.0,0.0,antmaze-large-diverse-v2_tau0.7_mpi2_seed0
antmaze-large-diverse-v2,2,0.7,1,0.0,0.0,antmaze-large-diverse-v2_tau0.7_mpi2_seed1
antmaze-large-diverse-v2,2,0.7,2,0.0,0.0,antmaze-large-diverse-v2_tau0.7_mpi2_seed2
antmaze-large-diverse-v2,2,0.7,3,0.0,0.0,antmaze-large-diverse-v2_tau0.7_mpi2_seed3
antmaze-large-diverse-v2,2,1.5,0,0.0,0.0,antmaze-large-diverse-v2_tau1.5_mpi2_seed0
antmaze-large-diverse-v2,2,1.5,1,0.0,0.0,antmaze-large-diverse-v2_tau1.5_mpi2_seed1
antmaze-large-diverse-v2,2,1.5,2,0.0,0.0,antmaze-large-diverse-v2_tau1.5_mpi2_seed2
antmaze-large-diverse-v2,2,1.5,3,0.0,0.0,antmaze-large-diverse-v2_tau1.5_mpi2_seed3
antmaze-large-diverse-v2,2,2.5,0,0.0,0.0,antmaze-large-diverse-v2_tau2.5_mpi2_seed0
antmaze-large-diverse-v2,2,2.5,1,0.0,0.0,antmaze-large-diverse-v2_tau2.5_mpi2_seed1
antmaze-large-diverse-v2,2,2.5,2,0.0,0.0,antmaze-large-diverse-v2_tau2.5_mpi2_seed2
antmaze-large-diverse-v2,2,2.5,3,0.0,0.0,antmaze-large-diverse-v2_tau2.5_mpi2_seed3
antmaze-large-diverse-v2,2,4.0,0,0.0,0.0,antmaze-large-diverse-v2_tau4_mpi2_seed0
antmaze-large-diverse-v2,2,4.0,1,0.0,0.0,antmaze-large-diverse-v2_tau4_mpi2_seed1
antmaze-large-diverse-v2,2,4.0,2,0.0,0.0,antmaze-large-diverse-v2_tau4_mpi2_seed2
antmaze-large-diverse-v2,2,4.0,3,0.0,0.0,antmaze-large-diverse-v2_tau4_mpi2_seed3
antmaze-large-diverse-v2,2,7.0,0,0.0,0.0,antmaze-large-diverse-v2_tau7_mpi2_seed0
antmaze-large-diverse-v2,2,7.0,1,0.0,0.0,antmaze-large-diverse-v2_tau7_mpi2_seed1
antmaze-large-diverse-v2,2,7.0,2,0.0,0.0,antmaze-large-diverse-v2_tau7_mpi2_seed2
antmaze-large-diverse-v2,2,7.0,3,0.0,0.0,antmaze-large-diverse-v2_tau7_mpi2_seed3
antmaze-large-diverse-v2,2,10.0,0,0.0,0.0,antmaze-large-diverse-v2_tau10_mpi2_seed0
antmaze-large-diverse-v2,2,10.0,1,0.0,0.0,antmaze-large-diverse-v2_tau10_mpi2_seed1
antmaze-large-diverse-v2,2,10.0,2,0.0,0.0,antmaze-large-diverse-v2_tau10_mpi2_seed2
antmaze-large-diverse-v2,2,10.0,3,0.0,0.0,antmaze-large-diverse-v2_tau10_mpi2_seed3
antmaze-large-diverse-v2,2,12.0,0,0.0,0.0,antmaze-large-diverse-v2_tau12_mpi2_seed0
antmaze-large-diverse-v2,2,12.0,1,0.0,0.0,antmaze-large-diverse-v2_tau12_mpi2_seed1
antmaze-large-diverse-v2,2,12.0,2,0.0,0.0,antmaze-large-diverse-v2_tau12_mpi2_seed2
antmaze-large-diverse-v2,2,12.0,3,0.0,0.0,antmaze-large-diverse-v2_tau12_mpi2_seed3
antmaze-large-diverse-v2,2,14.0,0,0.0,0.0,antmaze-large-diverse-v2_tau14_mpi2_seed0
antmaze-large-diverse-v2,2,14.0,1,0.0,0.0,antmaze-large-diverse-v2_tau14_mpi2_seed1
antmaze-large-diverse-v2,2,14.0,2,0.0,0.0,antmaze-large-diverse-v2_tau14_mpi2_seed2
antmaze-large-diverse-v2,2,14.0,3,0.0,0.0,antmaze-large-diverse-v2_tau14_mpi2_seed3
antmaze-large-diverse-v2,2,17.0,0,0.0,0.0,antmaze-large-diverse-v2_tau17_mpi2_seed0
antmaze-large-diverse-v2,2,17.0,1,0.0,0.0,antmaze-large-diverse-v2_tau17_mpi2_seed1
antmaze-large-diverse-v2,2,17.0,2,0.0,0.0,antmaze-large-diverse-v2_tau17_mpi2_seed2
antmaze-large-diverse-v2,2,17.0,3,0.0,0.0,antmaze-large-diverse-v2_tau17_mpi2_seed3
antmaze-large-diverse-v2,2,20.0,0,10.0,0.1,antmaze-large-diverse-v2_tau20_mpi2_seed0
antmaze-large-diverse-v2,2,20.0,1,0.0,0.0,antmaze-large-diverse-v2_tau20_mpi2_seed1
antmaze-large-diverse-v2,2,20.0,2,0.0,0.0,antmaze-large-diverse-v2_tau20_mpi2_seed2
antmaze-large-diverse-v2,2,20.0,3,0.0,0.0,antmaze-large-diverse-v2_tau20_mpi2_seed3
antmaze-large-diverse-v2,3,0.05,0,0.0,0.0,antmaze-large-diverse-v2_tau0.05_mpi3_seed0
antmaze-large-diverse-v2,3,0.05,1,0.0,0.0,antmaze-large-diverse-v2_tau0.05_mpi3_seed1
antmaze-large-diverse-v2,3,0.1,0,0.0,0.0,antmaze-large-diverse-v2_tau0.1_mpi3_seed0
antmaze-large-diverse-v2,3,0.1,1,0.0,0.0,antmaze-large-diverse-v2_tau0.1_mpi3_seed1
antmaze-large-diverse-v2,3,0.2,0,0.0,0.0,antmaze-large-diverse-v2_tau0.2_mpi3_seed0
antmaze-large-diverse-v2,3,0.2,1,0.0,0.0,antmaze-large-diverse-v2_tau0.2_mpi3_seed1
antmaze-large-diverse-v2,3,0.4,0,0.0,0.0,antmaze-large-diverse-v2_tau0.4_mpi3_seed0
antmaze-large-diverse-v2,3,0.4,1,0.0,0.0,antmaze-large-diverse-v2_tau0.4_mpi3_seed1
antmaze-large-diverse-v2,3,0.7,0,0.0,0.0,antmaze-large-diverse-v2_tau0.7_mpi3_seed0
antmaze-large-diverse-v2,3,0.7,1,0.0,0.0,antmaze-large-diverse-v2_tau0.7_mpi3_seed1
antmaze-large-diverse-v2,3,1.5,0,0.0,0.0,antmaze-large-diverse-v2_tau1.5_mpi3_seed0
antmaze-large-diverse-v2,3,1.5,1,0.0,0.0,antmaze-large-diverse-v2_tau1.5_mpi3_seed1
antmaze-large-diverse-v2,3,2.5,0,0.0,0.0,antmaze-large-diverse-v2_tau2.5_mpi3_seed0
antmaze-large-diverse-v2,3,2.5,1,0.0,0.0,antmaze-large-diverse-v2_tau2.5_mpi3_seed1
antmaze-large-diverse-v2,3,4.0,0,0.0,0.0,antmaze-large-diverse-v2_tau4_mpi3_seed0
antmaze-large-diverse-v2,3,4.0,1,0.0,0.0,antmaze-large-diverse-v2_tau4_mpi3_seed1
antmaze-large-diverse-v2,3,7.0,0,0.0,0.0,antmaze-large-diverse-v2_tau7_mpi3_seed0
antmaze-large-diverse-v2,3,7.0,1,0.0,0.0,antmaze-large-diverse-v2_tau7_mpi3_seed1
antmaze-large-diverse-v2,3,10.0,0,0.0,0.0,antmaze-large-diverse-v2_tau10_mpi3_seed0
antmaze-large-diverse-v2,3,10.0,1,0.0,0.0,antmaze-large-diverse-v2_tau10_mpi3_seed1
antmaze-large-diverse-v2,3,12.0,0,0.0,0.0,antmaze-large-diverse-v2_tau12_mpi3_seed0
antmaze-large-diverse-v2,3,12.0,1,0.0,0.0,antmaze-large-diverse-v2_tau12_mpi3_seed1
antmaze-large-diverse-v2,3,14.0,0,0.0,0.0,antmaze-large-diverse-v2_tau14_mpi3_seed0
antmaze-large-diverse-v2,3,14.0,1,0.0,0.0,antmaze-large-diverse-v2_tau14_mpi3_seed1
antmaze-large-diverse-v2,3,17.0,0,0.0,0.0,antmaze-large-diverse-v2_tau17_mpi3_seed0
antmaze-large-diverse-v2,3,17.0,1,0.0,0.0,antmaze-large-diverse-v2_tau17_mpi3_seed1
antmaze-large-diverse-v2,3,20.0,0,0.0,0.0,antmaze-large-diverse-v2_tau20_mpi3_seed0
antmaze-large-diverse-v2,3,20.0,1,0.0,0.0,antmaze-large-diverse-v2_tau20_mpi3_seed1
antmaze-large-diverse-v2,4,0.05,0,0.0,0.0,antmaze-large-diverse-v2_tau0.05_mpi4_seed0
antmaze-large-diverse-v2,4,0.05,1,0.0,0.0,antmaze-large-diverse-v2_tau0.05_mpi4_seed1
antmaze-large-diverse-v2,4,0.1,0,0.0,0.0,antmaze-large-diverse-v2_tau0.1_mpi4_seed0
antmaze-large-diverse-v2,4,0.1,1,0.0,0.0,antmaze-large-diverse-v2_tau0.1_mpi4_seed1
antmaze-large-diverse-v2,4,0.2,0,0.0,0.0,antmaze-large-diverse-v2_tau0.2_mpi4_seed0
antmaze-large-diverse-v2,4,0.2,1,0.0,0.0,antmaze-large-diverse-v2_tau0.2_mpi4_seed1
antmaze-large-diverse-v2,4,0.4,0,0.0,0.0,antmaze-large-diverse-v2_tau0.4_mpi4_seed0
antmaze-large-diverse-v2,4,0.4,1,0.0,0.0,antmaze-large-diverse-v2_tau0.4_mpi4_seed1
antmaze-large-diverse-v2,4,0.7,0,0.0,0.0,antmaze-large-diverse-v2_tau0.7_mpi4_seed0
antmaze-large-diverse-v2,4,0.7,1,0.0,0.0,antmaze-large-diverse-v2_tau0.7_mpi4_seed1
antmaze-large-diverse-v2,4,1.5,0,0.0,0.0,antmaze-large-diverse-v2_tau1.5_mpi4_seed0
antmaze-large-diverse-v2,4,1.5,1,0.0,0.0,antmaze-large-diverse-v2_tau1.5_mpi4_seed1
antmaze-large-diverse-v2,4,2.5,0,0.0,0.0,antmaze-large-diverse-v2_tau2.5_mpi4_seed0
antmaze-large-diverse-v2,4,2.5,1,0.0,0.0,antmaze-large-diverse-v2_tau2.5_mpi4_seed1
antmaze-large-diverse-v2,4,4.0,0,0.0,0.0,antmaze-large-diverse-v2_tau4_mpi4_seed0
antmaze-large-diverse-v2,4,4.0,1,0.0,0.0,antmaze-large-diverse-v2_tau4_mpi4_seed1
antmaze-large-diverse-v2,4,7.0,0,0.0,0.0,antmaze-large-diverse-v2_tau7_mpi4_seed0
antmaze-large-diverse-v2,4,7.0,1,0.0,0.0,antmaze-large-diverse-v2_tau7_mpi4_seed1
antmaze-large-diverse-v2,4,10.0,0,0.0,0.0,antmaze-large-diverse-v2_tau10_mpi4_seed0
antmaze-large-diverse-v2,4,10.0,1,0.0,0.0,antmaze-large-diverse-v2_tau10_mpi4_seed1
antmaze-large-diverse-v2,4,12.0,0,0.0,0.0,antmaze-large-diverse-v2_tau12_mpi4_seed0
antmaze-large-diverse-v2,4,12.0,1,0.0,0.0,antmaze-large-diverse-v2_tau12_mpi4_seed1
antmaze-large-diverse-v2,4,14.0,0,0.0,0.0,antmaze-large-diverse-v2_tau14_mpi4_seed0
antmaze-large-diverse-v2,4,14.0,1,0.0,0.0,antmaze-large-diverse-v2_tau14_mpi4_seed1
antmaze-large-diverse-v2,4,17.0,0,0.0,0.0,antmaze-large-diverse-v2_tau17_mpi4_seed0
antmaze-large-diverse-v2,4,17.0,1,0.0,0.0,antmaze-large-diverse-v2_tau17_mpi4_seed1
antmaze-large-diverse-v2,4,20.0,0,0.0,0.0,antmaze-large-diverse-v2_tau20_mpi4_seed0
antmaze-large-diverse-v2,4,20.0,1,0.0,0.0,antmaze-large-diverse-v2_tau20_mpi4_seed1
